# OpenRouter Top Coding Models
# Generated from user's curated list
# Edit this file to enable/disable models (comment with #)

# ============ FRONTIER / HIGH-REASONING ============
# anthropic/claude-4.5-opus              # $5.00/$25.00 - World-class reasoning
# openai/gpt-5.2-pro                     # $21.00/$168.00 - High-stakes precision
# openai/o3-pro                          # $20.00/$80.00 - Extended CoT for algorithms
anthropic/claude-4.5-sonnet              # $3.00/$15.00 - Industry standard
google/gemini-3-pro                      # $1.25/$5.00 - 1M+ context window
x-ai/grok-4.1-fast                       # $1.50/$6.00 - High throughput
# meta-llama/llama-3.1-405b              # $2.70/$2.70 - Powerful open-weights

# ============ CODING SPECIALISTS ============
x-ai/grok-code-fast-1                    # $0.20/$1.50 - #1 Programming by volume
mistralai/codestral-2508                 # $0.30/$0.90 - Mistral flagship coding
openai/gpt-5.1-codex-max                 # $1.25/$10.00 - OpenAI agentic coding
deepseek/deepseek-v3.2                   # $0.27/$1.10 - Top logic/math for price
qwen/qwen3-coder-480b                    # $0.22/$0.95 - SOTA open coding (Alibaba)
essentialai/rnj-1-instruct               # $0.15/$0.15 - Scientific/logic specialist
deepseek/deepseek-prover-v2              # $0.50/$2.18 - Formal verification expert

# ============ AGENTIC & FAST ============
google/gemini-3-flash-preview            # $0.50/$3.00 - High speed Pro-level
openai/gpt-5.2-chat                      # $1.75/$14.00 - Low latency pairing
anthropic/claude-4.5-haiku               # $0.80/$4.00 - Best bang for buck
mistralai/devstral-2-2512                # $0.05/$0.22 - Agentic coding specialist
z-ai/glm-4.7                             # $0.40/$1.50 - UI/screenshot-to-HTML
minimax/minimax-m2.1                     # $0.30/$1.20 - Efficient agentic brain
relace/relace-search                     # $1.00/$3.00 - Codebase exploration

# ============ FREE MODELS ============
xiaomi/mimo-v2-flash:free                # Free - #1 Open Source on SWE-bench
mistralai/devstral-2-2512:free           # Free - Mistral agentic coding
qwen/qwen3-coder:free                    # Free - Powerful Claude Sonnet alt
kwaipilot/kat-coder-pro-v1:free          # Free - Real-world SW engineering
nex-agi/deepseek-v3.1-nex-n1:free        # Free - Practical coding/HTML
allenai/olmo-3.1-32b-think:free          # Free - Fully open reasoning
nvidia/nemotron-3-nano:free              # Free - Compute efficient

# ============ BUDGET & LEGACY ============
openai/gpt-4o-mini                       # $0.15/$0.60 - Surprising logic
google/gemini-2.5-flash-lite             # $0.07/$0.30 - Ultra-budget 1M context
deepseek/deepseek-coder-v2               # $0.27/$1.10 - Classic "Claude-killer"
mistralai/ministral-3-14b                # $0.20/$0.20 - Edge-optimized
anthropic/claude-3.5-sonnet              # $3.00/$15.00 - Old Reliable
openai/gpt-4.1                           # $2.00/$8.00 - Precise diffs/PRs
google/gemini-2.0-flash-001              # $0.10/$0.40 - Long-context RAG
